ExecutionId,CycleName,FolderName,"Issue Key","Test Summary",Project,Component,Version,Priority,"Executed By","Executed On",ExecutionStatus,ExecutionDefects,CreationDate,"Assigned To","Custom Fields","Work Flow Status","Total Execution Time","Total Logged Time",StepId,OrderId,Step,"Test Data","Expected Result","Step Result",Comments,"Step Custom Fields"
0a9e1665-2c93-48f0-afe5-82c6c8110c73,"Ad hoc",,AT-1,"To check the functionality of the student enquiry form",ARENA_testcase,,Unscheduled,Medium,,,UNEXECUTED,,"10-29-2022 15:22:22",,,,,,e1e4c38c-c36f-4080-974e-efc5be8ef4eb,1,"Open the browser and enter URL","Chrome browser","Browser should open",UNEXECUTED,,
0a9e1665-2c93-48f0-afe5-82c6c8110c73,"Ad hoc",,AT-1,"To check the functionality of the student enquiry form",ARENA_testcase,,Unscheduled,Medium,,,UNEXECUTED,,"10-29-2022 15:22:22",,,,,,3ae7ab3e-a4ea-48fc-b20d-f5a6b4ee272d,2,"Enter 30 random alphabets",bgfrtghyujijytgfredswedfrtgyhf,"30 characters entered must be displayed in text box",UNEXECUTED,,
0a9e1665-2c93-48f0-afe5-82c6c8110c73,"Ad hoc",,AT-1,"To check the functionality of the student enquiry form",ARENA_testcase,,Unscheduled,Medium,,,UNEXECUTED,,"10-29-2022 15:22:22",,,,,,6cc21f16-2c5b-481a-b8e2-9dcdecabcdbc,3,"Click on radio button for both male and female",N/A,"Radio button must select when clicked male or female respectively",UNEXECUTED,,
0a9e1665-2c93-48f0-afe5-82c6c8110c73,"Ad hoc",,AT-1,"To check the functionality of the student enquiry form",ARENA_testcase,,Unscheduled,Medium,,,UNEXECUTED,,"10-29-2022 15:22:22",,,,,,b589458e-fa88-4a7e-ae8e-51315d3af9b1,4,"Click on the drop down list box for date",N/A,"Numbers must be displayed from 1-31 in the list box and should be able to select",UNEXECUTED,,
0a9e1665-2c93-48f0-afe5-82c6c8110c73,"Ad hoc",,AT-1,"To check the functionality of the student enquiry form",ARENA_testcase,,Unscheduled,Medium,,,UNEXECUTED,,"10-29-2022 15:22:22",,,,,,c2280f23-aab0-408c-ac88-fc2548a969a2,5,"Click on the drop down list box for month",N/A,"Numbers must be displayed from 1-12 in the list box and should be able to select",UNEXECUTED,,
0a9e1665-2c93-48f0-afe5-82c6c8110c73,"Ad hoc",,AT-1,"To check the functionality of the student enquiry form",ARENA_testcase,,Unscheduled,Medium,,,UNEXECUTED,,"10-29-2022 15:22:22",,,,,,9218e195-c480-45dd-a73b-6f30015ea76d,6,"Click on the drop down list box for year",N/A,"Numbers must be displayed for year in the list box and should be able to select",UNEXECUTED,,
0a9e1665-2c93-48f0-afe5-82c6c8110c73,"Ad hoc",,AT-1,"To check the functionality of the student enquiry form",ARENA_testcase,,Unscheduled,Medium,,,UNEXECUTED,,"10-29-2022 15:22:22",,,,,,9930346b-fc5d-47b6-a45d-43315ed28cca,7,"Enter an id with alphanumeric and special character",Rahuldravid123@gmail.com,"Cursor must activate in text box and able to display all the alphanumeric and special characters entered",UNEXECUTED,,
0a9e1665-2c93-48f0-afe5-82c6c8110c73,"Ad hoc",,AT-1,"To check the functionality of the student enquiry form",ARENA_testcase,,Unscheduled,Medium,,,UNEXECUTED,,"10-29-2022 15:22:22",,,,,,8e8c8c1d-fabd-4e2f-912a-734a2d77026e,8,"Enter phone number with STD code",080-22225555,"Cursor must activate in text box and phone number must be displayed",UNEXECUTED,,
0a9e1665-2c93-48f0-afe5-82c6c8110c73,"Ad hoc",,AT-1,"To check the functionality of the student enquiry form",ARENA_testcase,,Unscheduled,Medium,,,UNEXECUTED,,"10-29-2022 15:22:22",,,,,,1131b058-5f3f-4390-922b-fc6201007504,9,"Enter 30 random alphabets",nhjuyetgdhjbhytegduejkiduchydn,"30 characters entered must be displayed in text box",UNEXECUTED,,
0a9e1665-2c93-48f0-afe5-82c6c8110c73,"Ad hoc",,AT-1,"To check the functionality of the student enquiry form",ARENA_testcase,,Unscheduled,Medium,,,UNEXECUTED,,"10-29-2022 15:22:22",,,,,,775a70aa-0668-4b10-bc34-ff0c7fadbc25,10,"Enter 6 digit pincode",560004,"Cursor must activate in text box and numbers must be displayed not more than 6 digits",UNEXECUTED,,
0a9e1665-2c93-48f0-afe5-82c6c8110c73,"Ad hoc",,AT-1,"To check the functionality of the student enquiry form",ARENA_testcase,,Unscheduled,Medium,,,UNEXECUTED,,"10-29-2022 15:22:22",,,,,,a52b3e52-79f7-48f9-b8c4-61ac73adaebb,11,"Click on the drop down list box for INTERESTED IN courses","Animation career course (31 months), Multimedia career course (32 months), Web designing career course (12 months)","Drop down box must appear and able to select the mentioned courses",UNEXECUTED,,
0a9e1665-2c93-48f0-afe5-82c6c8110c73,"Ad hoc",,AT-1,"To check the functionality of the student enquiry form",ARENA_testcase,,Unscheduled,Medium,,,UNEXECUTED,,"10-29-2022 15:22:22",,,,,,8d9ab8b7-2b96-4973-b20c-28f0348b0113,12,"Enter 50 random alphanumeric",qwsaswqaswerfdfredftghyujhytghjuikjkiuolnhgbhjnhgb,"Cursor must activate and entered text must be displayed",UNEXECUTED,,
0a9e1665-2c93-48f0-afe5-82c6c8110c73,"Ad hoc",,AT-1,"To check the functionality of the student enquiry form",ARENA_testcase,,Unscheduled,Medium,,,UNEXECUTED,,"10-29-2022 15:22:22",,,,,,f1d00af0-0215-403b-8a43-05096f6dbf0c,13,"Click SUBMIT button",N/A,"Button must respond and display ""Successfully Submitted"" in next page when entered valid details  Button must respond and display ""Submission error"" in an error page when entered invalid details  Button must respond and If mandatory field is not filled *fields are missing msg must be displayed",UNEXECUTED,,
0a9e1665-2c93-48f0-afe5-82c6c8110c73,"Ad hoc",,AT-1,"To check the functionality of the student enquiry form",ARENA_testcase,,Unscheduled,Medium,,,UNEXECUTED,,"10-29-2022 15:22:22",,,,,,01cfd37c-c6e9-424f-8800-05637dbe59bc,14,"Click CANCEL button",N/A,"Button must respond and all the entered details must be erased",UNEXECUTED,,
97364376-a212-4cc3-b8bb-01aa499038d4,"Ad hoc",,AT-1,"To check the functionality of the student enquiry form",ARENA_testcase,,Unscheduled,Medium,"Thejus Ramakrishna","10-29-2022 15:24:01",PASS,,"10-29-2022 15:22:51",,,,,,e1e4c38c-c36f-4080-974e-efc5be8ef4eb,1,"Open the browser and enter URL","Chrome browser","Browser should open",PASS,,
97364376-a212-4cc3-b8bb-01aa499038d4,"Ad hoc",,AT-1,"To check the functionality of the student enquiry form",ARENA_testcase,,Unscheduled,Medium,"Thejus Ramakrishna","10-29-2022 15:24:01",PASS,,"10-29-2022 15:22:51",,,,,,3ae7ab3e-a4ea-48fc-b20d-f5a6b4ee272d,2,"Enter 30 random alphabets",bgfrtghyujijytgfredswedfrtgyhf,"30 characters entered must be displayed in text box",PASS,,
97364376-a212-4cc3-b8bb-01aa499038d4,"Ad hoc",,AT-1,"To check the functionality of the student enquiry form",ARENA_testcase,,Unscheduled,Medium,"Thejus Ramakrishna","10-29-2022 15:24:01",PASS,,"10-29-2022 15:22:51",,,,,,6cc21f16-2c5b-481a-b8e2-9dcdecabcdbc,3,"Click on radio button for both male and female",N/A,"Radio button must select when clicked male or female respectively",PASS,,
97364376-a212-4cc3-b8bb-01aa499038d4,"Ad hoc",,AT-1,"To check the functionality of the student enquiry form",ARENA_testcase,,Unscheduled,Medium,"Thejus Ramakrishna","10-29-2022 15:24:01",PASS,,"10-29-2022 15:22:51",,,,,,b589458e-fa88-4a7e-ae8e-51315d3af9b1,4,"Click on the drop down list box for date",N/A,"Numbers must be displayed from 1-31 in the list box and should be able to select",PASS,,
97364376-a212-4cc3-b8bb-01aa499038d4,"Ad hoc",,AT-1,"To check the functionality of the student enquiry form",ARENA_testcase,,Unscheduled,Medium,"Thejus Ramakrishna","10-29-2022 15:24:01",PASS,,"10-29-2022 15:22:51",,,,,,c2280f23-aab0-408c-ac88-fc2548a969a2,5,"Click on the drop down list box for month",N/A,"Numbers must be displayed from 1-12 in the list box and should be able to select",PASS,,
97364376-a212-4cc3-b8bb-01aa499038d4,"Ad hoc",,AT-1,"To check the functionality of the student enquiry form",ARENA_testcase,,Unscheduled,Medium,"Thejus Ramakrishna","10-29-2022 15:24:01",PASS,,"10-29-2022 15:22:51",,,,,,9218e195-c480-45dd-a73b-6f30015ea76d,6,"Click on the drop down list box for year",N/A,"Numbers must be displayed for year in the list box and should be able to select",PASS,,
97364376-a212-4cc3-b8bb-01aa499038d4,"Ad hoc",,AT-1,"To check the functionality of the student enquiry form",ARENA_testcase,,Unscheduled,Medium,"Thejus Ramakrishna","10-29-2022 15:24:01",PASS,,"10-29-2022 15:22:51",,,,,,9930346b-fc5d-47b6-a45d-43315ed28cca,7,"Enter an id with alphanumeric and special character",Rahuldravid123@gmail.com,"Cursor must activate in text box and able to display all the alphanumeric and special characters entered",PASS,,
97364376-a212-4cc3-b8bb-01aa499038d4,"Ad hoc",,AT-1,"To check the functionality of the student enquiry form",ARENA_testcase,,Unscheduled,Medium,"Thejus Ramakrishna","10-29-2022 15:24:01",PASS,,"10-29-2022 15:22:51",,,,,,8e8c8c1d-fabd-4e2f-912a-734a2d77026e,8,"Enter phone number with STD code",080-22225555,"Cursor must activate in text box and phone number must be displayed",PASS,,
97364376-a212-4cc3-b8bb-01aa499038d4,"Ad hoc",,AT-1,"To check the functionality of the student enquiry form",ARENA_testcase,,Unscheduled,Medium,"Thejus Ramakrishna","10-29-2022 15:24:01",PASS,,"10-29-2022 15:22:51",,,,,,1131b058-5f3f-4390-922b-fc6201007504,9,"Enter 30 random alphabets",nhjuyetgdhjbhytegduejkiduchydn,"30 characters entered must be displayed in text box",PASS,,
97364376-a212-4cc3-b8bb-01aa499038d4,"Ad hoc",,AT-1,"To check the functionality of the student enquiry form",ARENA_testcase,,Unscheduled,Medium,"Thejus Ramakrishna","10-29-2022 15:24:01",PASS,,"10-29-2022 15:22:51",,,,,,775a70aa-0668-4b10-bc34-ff0c7fadbc25,10,"Enter 6 digit pincode",560004,"Cursor must activate in text box and numbers must be displayed not more than 6 digits",PASS,,
97364376-a212-4cc3-b8bb-01aa499038d4,"Ad hoc",,AT-1,"To check the functionality of the student enquiry form",ARENA_testcase,,Unscheduled,Medium,"Thejus Ramakrishna","10-29-2022 15:24:01",PASS,,"10-29-2022 15:22:51",,,,,,a52b3e52-79f7-48f9-b8c4-61ac73adaebb,11,"Click on the drop down list box for INTERESTED IN courses","Animation career course (31 months), Multimedia career course (32 months), Web designing career course (12 months)","Drop down box must appear and able to select the mentioned courses",PASS,,
97364376-a212-4cc3-b8bb-01aa499038d4,"Ad hoc",,AT-1,"To check the functionality of the student enquiry form",ARENA_testcase,,Unscheduled,Medium,"Thejus Ramakrishna","10-29-2022 15:24:01",PASS,,"10-29-2022 15:22:51",,,,,,8d9ab8b7-2b96-4973-b20c-28f0348b0113,12,"Enter 50 random alphanumeric",qwsaswqaswerfdfredftghyujhytghjuikjkiuolnhgbhjnhgb,"Cursor must activate and entered text must be displayed",PASS,,
97364376-a212-4cc3-b8bb-01aa499038d4,"Ad hoc",,AT-1,"To check the functionality of the student enquiry form",ARENA_testcase,,Unscheduled,Medium,"Thejus Ramakrishna","10-29-2022 15:24:01",PASS,,"10-29-2022 15:22:51",,,,,,f1d00af0-0215-403b-8a43-05096f6dbf0c,13,"Click SUBMIT button",N/A,"Button must respond and display ""Successfully Submitted"" in next page when entered valid details  Button must respond and display ""Submission error"" in an error page when entered invalid details  Button must respond and If mandatory field is not filled *fields are missing msg must be displayed",PASS,,
97364376-a212-4cc3-b8bb-01aa499038d4,"Ad hoc",,AT-1,"To check the functionality of the student enquiry form",ARENA_testcase,,Unscheduled,Medium,"Thejus Ramakrishna","10-29-2022 15:24:01",PASS,,"10-29-2022 15:22:51",,,,,,01cfd37c-c6e9-424f-8800-05637dbe59bc,14,"Click CANCEL button",N/A,"Button must respond and all the entered details must be erased",PASS,,
